# Rank est utilise pour trier les peintures;;;;;;;;;
#   - '-1' ou pas de valeur, signifie que la date sera utilisee pour le tri (la plus recente en premier);;;;;;;;;
#   - une valeur positive signifie qu'on utilise cette valeur pour le tri (valeurs les plus fortes apparaissent en premier);;;;;;;;;
#;;;;;;;;;
# Status permet par exemple d'indiquer qu'un tableau a ete vendu ou qu'il n'est pas a vendre.;;;;;;;;;
"#   ""vendu"" -> le tableau a ete vendu";;;;;;;;;
"#   ""indisponible"" -> le tableau n'est pas a vendre";;;;;;;;;
#   Si la colonne est vide, le tableau est disponible;;;;;;;;;
#;;;;;;;;;
# Series est utilise pour permettre de grouper des tableaux;;;;;;;;;
#   - un tableau peut appartenir a plusieurs series;;;;;;;;;
#   - dans la colonne series, on peut mettre plusieurs series en separant leurs cles par un espace: par ex, ;;;;;;;;;
"# ""watermirror australia""";;;;;;;;;
#   - lâ€™identifiant de la serie doit etre un mot unique sans espace ou caractere special;;;;;;;;;
#   - l'intitule de la serie (ce qu'on affiche) doit etre defini dans les fichiers messages;;;;;;;;;
#;;;;;;;;;
# Pour ne pas afficher un tableau, il suffit de commenter la ligne correspondante;;;;;;;;;
#;;;;;;;;;
# rank;filename;title;date;height;width;type;status;description;series
-1;Huile/20230921_TheRiverBank_Vlaminck_38x46.jpg;The river bank;20230921;38;46;oil;;After The river Bank(1909) Maurice de Vlaminck (1876-1958) FR Fauvisme;momentsfeminins
-1;Huile/20240130_Zenitude_Huile_F4.jpg;Zenitude;20240130;33;24;oil;vendu; ;watermirror
-1;Huile/20240204_Baigneurs_Huile_50x100.jpg;Baignade à  la rivière;20240204;100;50;oil;;Cudgen River, Kingscliff, NSW Australie;momentsfeminins
-1;Huile/20240601_ChapeauOrange_HU46x33.jpg;Le chapeau orange;20240601;33;46;oil;;Corentin et son chapeau;origine
-1;Huile/20240613_Sakura-nenuphars_HU54x73.jpg;Sakura et Nénuphars;20240613;73;54;oil;;Cerisiers du temple Byodo-In (Japon);momentsfeminins
-1;Huile/20240728_Brume_HU73x54.jpg;Brumes du soir;20240728;73;54;oil;; ;momentsfeminins
-1;Huile/20241225_LeTorrent_HU41x33.jpg;Au milieu coule une riviÃ¨re;20241225;41;33;oil;;Parc du Mercantour (06) ;momentsfeminins
-1;Huile/20250314_AirMarin_HU50x50.jpg;Air Marin;20250314;50;50;oil;; ;momentsfeminins
-1;Huile/20250319_PortraitPascale_HU50x50.jpg;Portrait de Pascale;20250319;50;50;oil;; ;momentsfeminins
-1;Pastels/20200809_Le lievre.jpg;Le lièvre;20200809;18;24;pastel;indisponible; ;origine
-1;Pastels/20200815_AmericanRobin.jpg;American Robins;20200815;18;24;pastel;; ;origine
-1;Pastels/20200824_GuillaumeMaximilien_Bisou.jpg;Calin;20200824;17;23;pastel;indisponible; ;origine
-1;Pastels/20200827_Desert Jordanie.jpg;Wadi Ram;20200827;16;24;pastel;;Wadi Ram Desert Jordanie;origine
#-1;Pastels/20200829_Guillaume_Angelot.jpg;Angelot;20200829;17;23;pastel;; ;origine
#-1;Pastels/20200902_BebeEpanoui.jpg;Bebe Epanoui;20200902;19;14;pastel;; ;origine
-1;Pastels/20200906_Guillaume-surlaTable_Pascale.jpg;Premiers pas;20200906;19;13;pastel;indisponible; ;origine
#-1;Pastels/20201023_Luc_Profil.jpg;Profil;20201023;24;18;pastel;; ;origine
-1;Pastels/20201106_Pascale_RenaissanceItalienne.jpg;Dans le vent;20201106;18;24;pastel;; ;origine
-1;Pastels/20201110_Le bisou_PascaleGuillaume.jpg;Le bisou;20201110;20;28;pastel;indisponible; ;origine
#-1;Pastels/20201111_Luc au clair de lune.jpg;Clair de Lune;20201111;30;40;pastel;; ;origine
#-1;Pastels/20201206_Fiancailles_VersionAUS.jpg;Fiançailles;20201206;30;40;pastel;;Pastel - FianÃ§ailles (collection privÃ©e Brisbane, AUS);origine
-1;Pastels/20201210_Fiancailles_VersionFR.jpg;Fiançailles du soir;20201210;30;40;pastel;indisponible; ;origine
#-1;Pastels/20201227_Femme Cruche.jpg;La servante;20201227;40;30;pastel;;La servante au tableau;origine
#-1;Pastels/20210124_PascaleAmelie.jpg;Generations;20210124;30;40;pastel;;Generations Petite-fille Grand-mÃ¨re;origine
#-1;Pastels/20210630_Olen et marguerite.jpg;Printemps Ã  Entraunes;20210630;23;18;pastel;; ;origine
-1;Pastels/20210909_canalDuMidi.jpg;Allée de platanes;20210909;39;29;pastel;vendu;Le long du canal du Midi - Aude, FR - (collection privÃ©e, USA);origine
-1;Pastels/20210917_Michel en Polynesie.jpg;Torride;20210917;20;28;pastel;indisponible;Pastel- Au soleil de Polynesie;metamorphose
-1;Pastels/20220714_LaBrague.jpg;La Brague;20220714;20;28;pastel;;Pastel- La Brague prÃ¨s du pont des Tamarins (Biot, 06);origine
-1;Pastels/20240119_Corentin2Mois.jpg;Bébé sourit;20240119;21;26;pastel;;Pastel- Corentin 2 mois;metamorphose
-1;Pastels/20240227_Tendresse_30x24.jpg;Tendresse;20240227;24;30;pastel;; Corentin, son pÃ¨re et leur chat;metamorphose
-1;Pastels/20240428_BordDeSiagne_Pa-32x24.jpg;Bord de Siagne;20240428;24;32;pastel;; Bord de riviÃ¨re. Le chien Olen;watermirror
-1;Pastels/20240625_BebeRose_Pa_32x24.jpg;Bébé et la rose;20240625;24;32;pastel;; Corentin 7mois. Pastels secs et sanguine;metamorphose
-1;Pastels/20240628_BrisbaneNorthBank_Pa-21x27.jpg;Brisbane North Bank;20240628;27;21;pastel;;RiviÃ¨re Brisbane, NSW, Australie;origine
-1;Autres/20200920_SanguinePascaleGuillaume.jpg;Mere et enfant;20200920;12;18;other;;Sanguine- Mere et enfant;momentsfeminins
#-1;Autres/20201220_Loup et Corbeaux.jpg;Loup et Corbeaux;20201220;18;24;other;;Encre de chine - Loups et corbeaux;origine
-1;Autres/20230202_LesMouettes_30x40_Aquarelle.jpg;Les mouettes;20230202;40;30;other;;Aquarelle - Les mouettes;metamorphose
